"MINISTERE","MNT_ALLOUE","MNT_AUTORISE","SOLDE"
"1111",994773559.68,967280084.31,27493475.37
"1112",4449799064.44,4348600754.74,101198309.7
"1113",1088993822.04,1085514915.25,3478906.79
"1114",995792949,940707289.82,55085659.18
"1115",502966359.24,502313127.27,653231.97
"1116",351618351.84,349259249.41,2359102.43
"1117",174096004.44,173731770.94,364233.5
"1211",9686860697.16,9520293896.24,166566800.92
"1212",89125427.28,89032793.45,92633.83
"1213",3004357887.48,3004355662.8,2224.68
"1214",1198674740.04,1197829568.31,845171.73
"1215",1760453010.36,1720562774.02,39890236.34
"1216",1493964758.04,1420213014.26,73751743.78
"1217",400354669.56,400251126.88,103542.68
"1311",10383148107.12,10166563622.77,216584484.35
"1312",930335721.05,928405751.17,1929969.88
"1313",3639322202.16,3623944580.31,15377621.85
"1314",135192833.16,135163522.04,29311.12
"1315",473860254,473342210.6,518043.4
"1411",159152189.28,159008863.81,143325.47
"1412",1093134326.4,1087748707.47,5385618.93
"1413",290689012.2,290526446.54,162565.66
"1511",10322369666.16,5741222280.44,4581147385.72
"1512",8502353542.2,8502069197.48,284344.72
"2211",1038774986.76,913782166.65,124992820.11
"2212",1940566740.48,1936138462.81,4428277.67
"3211",944314864.92,939129775.01,5185089.91
"4111",612374333.16,612366832.42,7500.74
"4211",351240782.4,351239093.12,1689.28
"4212",44686932.84,44673408.97,13523.87
"4311",1046837750.88,1043081613.59,3756137.29
"4411",22031200.08,22028727.6,2472.48
"Total : ",68122216745.85,62690381290.5,5431835455.35
